timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
1416722400.0,0.5552773377640041,0,0.0,0.5,0.4604646140847791,0.5,0.5,0.5
1416726000.0,0.5923231453395007,0,0.0,0.5,0.4286140686964315,0.575,0.5388228567653781,0.5056086791414488
1416729600.0,0.6315868678926349,0,0.0,0.5,0.4665013121491486,0.6299038105676658,0.575,0.5112095140379637
1416733200.0,0.6654000489044796,0,0.0,0.5,0.5642443252182311,0.65,0.6060660171779819,0.5167946714154963
1416736800.0,0.6750363213641372,0,0.0,0.5,0.6145526046302353,0.6299038105676658,0.6299038105676658,0.522356339926426
1416740400.0,0.6469819188927094,0,0.0,0.5,0.5177440127189639,0.575,0.6448888739433605,0.5278867410744372
1416744000.0,0.6168243980908845,0,0.0,0.5,0.4786073246251938,0.5,0.65,0.5333781400934472
1416747600.0,0.5846363067981336,0,0.0,0.5,0.4497080509574981,0.425,0.6448888739433605,0.5388228567653781
1416751200.0,0.56044892744571,0,0.0,0.5,0.44861752106248287,0.3700961894323342,0.6299038105676658,0.5442132761616356
1416754800.0,0.531635155428298,0,0.0,0.5,0.35281558780554995,0.35,0.6060660171779819,0.549541859293275
1416758400.0,0.557948898639156,0,0.0,0.5,0.5452371260713976,0.3700961894323342,0.575,0.5548011536549592
1416762000.0,0.5476648626627557,0,0.0,0.5,0.4203785275817245,0.42499999999999993,0.5388228567653782,0.5599838036479611
1416765600.0,0.5669015531955348,0,0.0,0.5,0.45053954751709036,0.49999999999999994,0.5,0.5650825608676338
1416769200.0,0.5746110736258103,0,0.0,0.5,0.4037051411009609,0.575,0.46117714323462183,0.5700902942409594
1416772800.0,0.6018787230875944,0,0.0,0.5,0.5304393321421744,0.6299038105676658,0.425,0.575
1416776400.0,0.5929065824293517,0,0.0,0.5,0.4874066865772238,0.65,0.39393398282201814,0.5798048114773005
1416780000.0,0.5616868864242425,0,0.0,0.5,0.37636496998661295,0.6299038105676658,0.37009618943233424,0.5844980087095433
1416783600.0,0.5562836280992627,0,0.0,0.5,0.5020410069337728,0.575,0.3551111260566395,0.5890730278360253
1416787200.0,0.5222351813202898,0,0.0,0.5,0.46203543183807905,0.5,0.35,0.59352347027881
1416790800.0,0.5207351430540338,0,0.0,0.5,0.6161993727131934,0.4250000000000001,0.3551111260566395,0.5978431116917181
1416794400.0,0.49149668519986445,0,0.0,0.5,0.5132850784124793,0.3700961894323342,0.37009618943233424,0.602025910665638
