timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
1416722400.0,0.8269205903245508,0,0.0,1.0,0.5130307598664168,0.5,0.5,0.5
1416726000.0,0.8657372342627985,0,0.0,1.0,0.5722822185167856,0.625,0.5647047612756303,0.5093477985690814
1416729600.0,0.8951580674348047,0,0.0,1.0,0.5847983592448359,0.7165063509461099,0.625,0.518682523396606
1416733200.0,0.9068179113787362,0,0.0,1.0,0.47094263352692745,0.75,0.6767766952966375,0.5279911190258271
1416736800.0,0.9091830156849005,0,0.0,1.0,0.592162959954938,0.7165063509461099,0.71650635094611,0.5372605665440436
1416740400.0,0.8903007547101586,0,0.0,1.0,0.4986153424456078,0.625,0.7414814565722669,0.5464779017907287
1416744000.0,0.8643034590081117,0,0.0,1.0,0.48617592100414725,0.5,0.75,0.5556302334890785
1416747600.0,0.8411024604930303,0,0.0,1.0,0.6403336425854327,0.375,0.7414814565722669,0.5647047612756302
1416751200.0,0.8126132720842671,0,0.0,1.0,0.4455349636831953,0.2834936490538901,0.71650635094611,0.573688793602726
1416754800.0,0.8061457123427032,0,0.0,1.0,0.6193595504118259,0.25,0.6767766952966375,0.5825697654887917
1416758400.0,0.8049715683879826,0,0.0,1.0,0.5303615880188578,0.2834936490538901,0.625,0.5913352560915988
1416762000.0,0.8185480883857774,0,0.0,1.0,0.5422688878742081,0.375,0.5647047612756303,0.5999730060799353
1416765600.0,0.8388117547109594,0,0.0,1.0,0.5498689049632106,0.49999999999999994,0.5,0.6084709347793896
1416769200.0,0.850020263989996,0,0.0,1.0,0.25806335006558667,0.625,0.43529523872436976,0.6168171570682656
1416772800.0,0.8755381233791026,0,0.0,1.0,0.6669624218343132,0.7165063509461099,0.375,0.625
1416776400.0,0.8732129833088331,0,0.0,1.0,0.5423366708086855,0.75,0.32322330470336247,0.6330080191288341
1416780000.0,0.8612540331383849,0,0.0,1.0,0.5377728389744191,0.7165063509461099,0.28349364905388996,0.6408300145159056
1416783600.0,0.8378390312680919,0,0.0,1.0,0.5155028123697786,0.625,0.258518543427733,0.6484550463933756
1416787200.0,0.808524941941442,0,0.0,1.0,0.47265012718164223,0.5000000000000001,0.25,0.6558724504646833
1416790800.0,0.7836538617756127,0,0.0,1.0,0.5039381164059905,0.375,0.258518543427733,0.6630718528195302
1416794400.0,0.7668325437471323,0,0.0,1.0,0.48604043403463204,0.2834936490538901,0.28349364905388996,0.6700431844427298
1416798000.0,0.7652282354385386,0,0.0,1.0,0.4841408260235646,0.25,0.32322330470336247,0.6767766952966368
1416801600.0,0.7780197637982008,0,0.0,1.0,0.41705494836389045,0.2834936490538901,0.37499999999999983,0.6832629679574566
1416805200.0,0.8083552057844275,0,0.0,1.0,0.47008099039494455,0.375,0.4352952387243696,0.6894929307863632
1416808800.0,0.8476106200286521,0,0.0,1.0,0.5549979404103426,0.4999999999999999,0.49999999999999994,0.6954578706170074
1416812400.0,0.8845157833985128,0,0.0,1.0,0.5629747732872606,0.625,0.5647047612756303,0.7011494449416671
1416816000.0,0.9159293977305291,0,0.0,1.0,0.6544074589677976,0.7165063509461099,0.625,0.7065596935789987
1416819600.0,0.9240535003642907,0,0.0,1.0,0.43722959295249375,0.75,0.6767766952966375,0.7116810498070711
1416823200.0,0.9274267594680244,0,0.0,1.0,0.6064661653636236,0.7165063509461099,0.71650635094611,0.7165063509461106
1416826800.0,0.9114050868726172,0,0.0,1.0,0.6231120615910295,0.625,0.7414814565722669,0.7210288483761532
1416830400.0,0.8830205678617408,0,0.0,1.0,0.5478632092805928,0.5000000000000006,0.75,0.7252422169756043
1416834000.0,0.8532407513212865,0,0.0,1.0,0.5011675012559121,0.375,0.7414814565722669,0.7291405639674936
1416837600.0,0.825868616127739,0,0.0,1.0,0.3611578937941572,0.2834936490538911,0.71650635094611,0.7327184371610511
1416841200.0,0.8120970099282877,0,0.0,1.0,0.31159854495147066,0.25,0.6767766952966375,0.7359708325770915
1416844800.0,0.8203163388673982,0,0.0,1.0,0.5529410122402778,0.2834936490538901,0.625,0.7388932014465361
1416848400.0,0.8316982150281788,0,0.0,1.0,0.5120720043667106,0.375,0.5647047612756303,0.741481456572268
1416852000.0,0.8526628570078403,0,0.0,1.0,0.5634493711910736,0.49999999999999983,0.5000000000000001,0.7437319780454553
1416855600.0,0.870229799888852,0,0.0,1.0,0.5034175647582952,0.625,0.4352952387243701,0.7456416183083213
1416859200.0,0.8821703419351122,0,0.0,1.0,0.48441556106568573,0.7165063509461089,0.37500000000000017,0.747207706556283
1416862800.0,0.8837144805384392,0,0.0,1.0,0.5102787761260105,0.75,0.3232233047033641,0.7484280524733107
1416866400.0,0.8713993981834253,0,0.0,1.0,0.5167904839197768,0.7165063509461099,0.28349364905388996,0.7493009492952958
1416870000.0,0.8492430439682436,0,0.0,1.0,0.5595764485982967,0.6250000000000009,0.258518543427733,0.7498251761971
1416873600.0,0.8162785761208363,0,0.0,1.0,0.4196604639792053,0.5000000000000002,0.25,0.75
1416877200.0,0.7939860653724424,0,0.0,1.0,0.5606198419854765,0.375,0.258518543427733,0.7498251761971
1416880800.0,0.7767137930896146,0,0.0,1.0,0.5524556970981268,0.2834936490538911,0.28349364905388996,0.7493009492952958
1416884400.0,0.7734183545103349,0,0.0,1.0,0.5195800843654567,0.25,0.32322330470336247,0.7484280524733107
1416888000.0,0.7846006433684183,0,0.0,1.0,0.4245602163344956,0.2834936490538901,0.37499999999999967,0.747207706556283
1416891600.0,0.8103629002682228,0,0.0,1.0,0.35178136147127537,0.375,0.43529523872436976,0.7456416183083213
1416895200.0,0.8481894523548281,0,0.0,1.0,0.4152911675030041,0.4999999999999998,0.4999999999999999,0.7437319780454553
1416898800.0,0.8920807896522573,0,0.0,1.0,0.680787253285451,0.625,0.56470476127563,0.741481456572268
1416902400.0,0.911238532574939,0,0.0,1.0,0.39263242025345024,0.7165063509461099,0.6250000000000002,0.7388932014465361
1416906000.0,0.9287272157402581,0,0.0,1.0,0.5120806020873595,0.75,0.6767766952966359,0.7359708325770915
